linkage,cluster,Year,Licensed_Beds,Acute_Care_Medicare_Discharges,Acute_Care_Medicaid_Discharges,Acute_Care_Self_Pay_Discharges,Acute_Care_Commercial_Discharges,Acute_Care_Other_Discharges,Acute_Care_Total_Discharges,Swing_Bed_Medicare_Discharges1,Swing_Bed_Medicaid_Discharges,Swing_Bed_Self_Pay_Discharges,Swing_Bed_Commercial_Discharges,Swing_Bed_Other_Discharges,Swing_Bed_Total_Discharges,SNF_Medicare_Discharges,SNF_Medicaid_Discharges,SNF_Self_Pay_Discharges,SNF_Commercial_Discharges,SNF_Other_Discharges,SNF_Total_Discharges,Psych_Rehab_CDU_Medicare_Discharges,Psych_Rehab_CDU_Medicaid_Discharges,Psych_Rehab_CDU_Self_Pay_Discharges,Psych_Rehab_CDU_Commercial_Discharges,Psych_Rehab_CDU_Other_Discharges,Psych_Rehab_CDU_Total_Discharges,Total_Medicare_Discharges,Total_Medicaid_Discharges,Total_Self_Pay_Discharges,Total_Commercial_Discharges,Total_Other_Discharges,Total_Discharges,Acute_Care_Medicare_Patient_Days,Acute_Care_Medicaid_Patient_Days,Acute_Care_Self_Pay_Patient_Days,Acute_Care_Commercial_Patient_Days,Acute_Care_Other_Patient_Days,Acute_Care_Total_Patient_Days,Swing_Bed_Medicare_Patient_Days,Swing_Bed_Medicaid_Patient_Days,Swing_Bed_Self_Pay_Patient_Days,Swing_Bed_Commercial_Patient_Days,Swing_Bed_Other_Patient_Days,Swing_Bed_Total_Patient_Days,SNF_Medicare_Patient_Days,SNF_Medicaid_Patient_Days,SNF_Self_Pay_Patient_Days,SNF_Commercial_Patient_Days,SNF_Other_Patient_Days,SNF_Total_Patient_Days,Psych_Rehab_CDU_Medicare_Patient_Days,Psych_Rehab_CDU_Medicaid_Patient_Days,Psych_Rehab_CDU_Self_Pay_Patient_Days,Psych_Rehab_CDU_Commercial_Patient_Days,Psych_Rehab_CDU_Other_Patient_Days,Psych_Rehab_CDU_Total_Patient_Days,Total_Medicare_Patient_Days,Total_Medicaid_Patient_Days,Total_Self_Pay_Patient_Days,Total_Commercial_Patient_Days,Total_Other_Patient_Days,Total_Patient_Days,Total_Inpatient_Surgeries,Total_Births,Total_Newborn_Days,Number_of_Admissions_from_ER,Emergency_Room_Visits,Outpatient_Surgery_Visits,Observation_Visits,Home_Health_Visits,All_Other_Visits,Total_Outpatient_Visits,Acute_Medicare_Inpatient_Revenue,Acute_Medicaid_Inpatient_Revenue,Acute_Self_Pay_Inpatient_Revenue,Acute_Other_Inpatient_Revenue,Acute_Total_Inpatient_Revenue,Acute_Medicare_Outpatient_Revenue,Acute_Medicaid_Outpatient_Revenue,Acute_Self_Pay_Outpatient_Revenue,Acute_Commercial_Inpatient_Revenue,Acute_Commercial_Outpatient_Revenue,Acute_Other_Outpatient_Revenue,Acute_Total_Outpatient_Revenue,Swing_Bed_Medicare_Revenue,Swing_Bed_Medicaid_Revenue,Swing_Bed_Self_Pay_Revenue,Swing_Bed_Commercial_Revenue,Swing_Bed_Other_Revenue,Swing_Bed_Total_Revenue,SNF_Medicare_Revenue,SNF_Medicaid_Revenue,SNF_Self_Pay_Revenue,SNF_Commercial_Revenue,SNF_Other_Revenue,SNF_Total_Revenue,Psych_Rehab_CDU_Medicare_Revenue,Psych_Rehab_CDU_Medicaid_Revenue,Psych_Rehab_CDU_Self_Pay_Revenue,Psych_Rehab_CDU_Commercial_Revenue,Psych_Rehab_CDU_Other_Revenue,Psych_Rehab_DCU_Total_Revenue,Home_Health_Medicare_Revenue,Home_Health_Medicaid_Revenue,Home_Health_Self_Pay_Revenue,Home_Health_Commercial_Revenue,Home_Health_Other_Revenue,Home_Health_Total_Revenue,Total_Medicare_Revenue,Total_Medicaid_Revenue,Total_Self_Pay_Revenue,Total_Commercial_Revenue,Total_Other_Revenue,Total_Revenue,Acute_Contractuals_Medicare,Acute_Contractuals_Medicaid,Acute_Contractuals_Self_Pay,Acute_Contractuals_Commercial,Acute_Contractuals_Other,Acute_Contractuals_Total,Other_Contractuals_Medicare,Other_Contractuals_Medicaid,Other_Contractuals_Self_Pay,Other_Contractuals_Commercial,Other_Contractuals_Other,Other_Contractuals_Total,Total_Medicare_Contractuals,Total_Medicaid_Contractuals,Total_Self_Pay_Contractuals,Total_Commercial_Contractuals,Total_Other_Contractuals,Total_Contractuals,Total_Charity_Care,Facility_Payroll,Facility_Paid_Hours,Physician_Payroll,Physician_Paid_Hours,Total_Payroll,Total_Paid_Hours,Employee_Benefit_Expenses,Supply_Expenses,Depreciation_Expense,Interest_Expenses,Bad_Debts,All_Other_Expenses,Total_Operating_Expenses,Other_Operation_Revenue,Operating_Margin,Net_Non_Operating_Gains_Losses,Tax_Subsidies,Gross_Total_Margin,Gross_Accounts_Receivable_Medicare,Gross_Accounts_Receivable_Medicaid,Gross_Accounts_Receivable_Self_Pay,Gross_Accounts_Receivable_Commercial,Gross_Accounts_Receivable_Other,Total_Gross_Accounts_Receivable,Casemix Index
single,0,-0.00035551480762326094,0.0002481910700327918,0.00024999011313155893,0.00023870553872734558,6.799773405063072e-05,8.73184083312959e-05,0.00017635595046366855,0.00024546891683318943,-0.0015857430558465586,6.575123890880012e-05,2.6120821454921938e-05,-0.003899976231644287,-8.97968946643744e-05,-0.001804411042979133,1.961549062347271e-05,5.587931626167394e-05,1.5959320558716945e-05,9.968342287168903e-06,3.583526409094505e-05,5.0186258336923424e-05,0.00012035197933341582,9.317535913631849e-05,4.030319889171431e-05,5.008492037756341e-05,9.474864438759056e-05,0.0001119502589702069,0.00023339497574712562,0.00024732711197381096,7.109478723988448e-05,6.578445294279957e-05,0.0001795413213175534,0.00023854984660707414,0.00024253880239109027,0.00021411198717777739,9.016522179441285e-05,9.748646826228468e-05,0.00017977177230922225,0.00024076241788430393,-0.0018927280421708486,8.375762802322531e-05,2.5568738317724334e-05,-0.00405412490441044,2.1659732948558726e-05,-0.0015633618674589925,2.3833453681766854e-05,7.171344344517466e-05,2.984045185302276e-05,1.4264704742902488e-05,5.170540359556959e-05,7.713021302634516e-05,0.00011348834888384148,8.829952336439631e-05,3.725964374011652e-05,4.644813641232595e-05,0.0001022059371841743,0.00010836273918760775,0.00017488170899135214,0.00023766724899775902,9.873540762039269e-05,1.4483345008720049e-05,0.00019110463514867646,0.00020509217604504004,0.0002167737791709877,0.00019792319015796554,0.00017317545391956849,0.00024829350163572354,0.00024017627119905858,0.00027583574049654477,0.0002191796634119029,6.967999648213468e-05,0.00020497067865375915,0.0002199011149221902,0.0002215418922752606,0.00018313096328970838,9.5740370928926e-05,0.0001712198912919469,0.00021917064578959186,0.00025789124846377966,0.00026834189551317697,0.00014004326704657906,9.131051942720331e-05,9.436152479224433e-05,0.00021790911661634315,0.0002646084568333298,-0.003819628825195793,-0.0010976185483608564,-0.00025481982059977074,-0.005874854107481344,-4.0485007621749355e-06,-0.004295308912538021,-0.0138359420357868,4.369205891464446e-05,3.358642451731729e-05,-0.017454798631160843,-0.0010646432269761192,-0.005189730488163059,0.00010204662730262488,8.35047625456396e-05,2.5643898926816727e-05,4.084093305277891e-05,9.072645564803517e-05,9.885686915505987e-05,6.505322184086195e-05,5.614633228399747e-05,2.7111182185572027e-05,2.141247746676584e-05,3.1759805013692444e-05,5.3622669097886054e-05,0.00021762155826659914,0.00022742175066177203,0.0001304059830251681,7.897543590117365e-05,0.0002066987684541169,0.00023416042270000227,0.0002345173292176489,0.00022238528637071929,8.550667734999828e-05,8.536226345337777e-05,0.0001959239196847297,0.00023896612720833812,3.3295682180299024e-05,1.5873077751967135e-05,6.670299268622573e-06,1.7939543295656922e-05,5.3803828479013264e-05,3.572403666262131e-05,0.00023723093352054413,0.00022414876837513505,8.204805963402624e-05,8.6518673729675e-05,0.00019802159831167293,0.00024170242282330233,0.0001716024855657024,0.0001997279674159998,0.00022481639762271947,0.00011839442548531216,9.373244537412895e-05,0.00020130299330388933,0.00022338485330549227,0.00016902960521056058,0.00018742480856004588,0.00012764639611027273,0.0001774059130867991,8.900889966088511e-05,0.0002080567987673026,0.0002014208244672149,8.202310594862319e-05,-6.609033969283423e-05,6.0705209206823234e-05,8.098457811811428e-05,-1.829317389952251e-05,9.730042887596884e-05,0.00012132742981363622,0.00011921043987442105,6.392263693933593e-05,0.0001038141137817852,0.00013216495069255782,0.00012045288234052674
single,1,1.0093065388868838,-0.7046144478238042,-0.7097219311806525,-0.677685024446531,-0.1930455669787259,-0.24789696123021454,-0.5006745433679793,-0.6968862548891498,4.5019245355436,-0.186667767264209,-0.07415701210673999,11.072032521644598,0.25493338395334286,5.122722951013393,-0.05568837787462021,-0.1586413788628838,-0.04530851106870566,-0.028300123756711783,-0.10173631475354754,-0.14247878742274045,-0.3416792693264494,-0.2645248445871933,-0.11442078165923747,-0.14219108893483573,-0.26899140141979505,-0.3178267852156374,-0.6626083361461568,-0.702161670893501,-0.20183810098952715,-0.18676206192043326,-0.5097178112208646,-0.6772430145173322,-0.6885676599890156,-0.6078639315971547,-0.2559790646620925,-0.27676408341714925,-0.5103720615862213,-0.6835245043738899,5.3734549117185635,-0.23778790595872545,-0.0725896480801699,11.509660603631085,-0.061491981845501996,4.438384341711926,-0.06766317500224611,-0.2035944659455213,-0.0847170428142742,-0.04049749676802395,-0.14679164081453708,-0.2189726747870502,-0.32219342248231087,-0.2506823468297571,-0.10578012857275015,-0.13186625928852183,-0.29016265566211824,-0.30764181655372835,-0.496489171826008,-0.6747373199046073,-0.28030982221402195,-0.041118216492353296,-0.5425460591870521,-0.5822566877921803,-0.6154207590672528,-0.5619039368577905,-0.49164511367986236,-0.7049052511430333,-0.681860433934972,-0.7830976672716973,-0.6222510644246957,-0.19782151001305465,-0.5819117566989068,-0.624299265264756,-0.6289574321697091,-0.5199088047788981,-0.2718069130782561,-0.4860932713793066,-0.6222254633967003,-0.7321532543860887,-0.7618226413607745,-0.3975828351321217,-0.2592305646367908,-0.2678923688965327,-0.6186439820727364,-0.7512234089476821,10.843926234731285,3.116139058797045,0.7234334706821743,16.678710811142622,0.011493693669989317,12.194382002696056,39.280239439600734,-0.12404175525975006,-0.09535185921032234,49.554173313863615,3.0225221213784557,14.733644855892301,-0.28971037491313595,-0.23707002086454487,-0.07280302905391497,-0.11594740894374515,-0.25757240758431993,-0.28065465153046215,-0.1846860968062939,-0.15939943735314882,-0.07696864621913366,-0.0607900235289659,-0.09016608643391551,-0.15223475756892066,-0.6178276039185987,-0.6456503501294096,-0.37022258581321327,-0.22421126252685405,-0.5868178036410034,-0.6647814400447446,-0.6657946976482663,-0.6313518280076941,-0.24275345700663717,-0.24234346593294603,-0.5562280079861619,-0.6784248351456844,-0.09452644171034717,-0.04506366773500645,-0.018936979625225583,-0.050930363416863314,-0.15274906904839378,-0.1014205400835435,-0.6734986202655382,-0.6363583534164142,-0.23293444129058724,-0.24562651473291058,-0.5621833176059563,-0.686193178396049,-0.4871794565203988,-0.5670276994936819,-0.6382537528505702,-0.33612177395195986,-0.2661064124196997,-0.5714991979890821,-0.6341895985341884,-0.4798750491921144,-0.5320990315022429,-0.36238811855708475,-0.5036553872550622,-0.25269626613676516,-0.5906732517001795,-0.5718337206621875,-0.23286359778880594,0.18763047438705346,-0.17234208893767022,-0.22991521727573694,0.05193432070016001,-0.276235917581661,-0.3444485732400399,-0.3384384387931713,-0.18147636625349053,-0.2947282690271806,-0.3752162950157143,-0.3419657329642808
complete,0,-0.00035551480762326094,0.0002481910700327918,0.00024999011313155893,0.00023870553872734558,6.799773405063072e-05,8.73184083312959e-05,0.00017635595046366855,0.00024546891683318943,-0.0015857430558465586,6.575123890880012e-05,2.6120821454921938e-05,-0.003899976231644287,-8.97968946643744e-05,-0.001804411042979133,1.961549062347271e-05,5.587931626167394e-05,1.5959320558716945e-05,9.968342287168903e-06,3.583526409094505e-05,5.0186258336923424e-05,0.00012035197933341582,9.317535913631849e-05,4.030319889171431e-05,5.008492037756341e-05,9.474864438759056e-05,0.0001119502589702069,0.00023339497574712562,0.00024732711197381096,7.109478723988448e-05,6.578445294279957e-05,0.0001795413213175534,0.00023854984660707414,0.00024253880239109027,0.00021411198717777739,9.016522179441285e-05,9.748646826228468e-05,0.00017977177230922225,0.00024076241788430393,-0.0018927280421708486,8.375762802322531e-05,2.5568738317724334e-05,-0.00405412490441044,2.1659732948558726e-05,-0.0015633618674589925,2.3833453681766854e-05,7.171344344517466e-05,2.984045185302276e-05,1.4264704742902488e-05,5.170540359556959e-05,7.713021302634516e-05,0.00011348834888384148,8.829952336439631e-05,3.725964374011652e-05,4.644813641232595e-05,0.0001022059371841743,0.00010836273918760775,0.00017488170899135214,0.00023766724899775902,9.873540762039269e-05,1.4483345008720049e-05,0.00019110463514867646,0.00020509217604504004,0.0002167737791709877,0.00019792319015796554,0.00017317545391956849,0.00024829350163572354,0.00024017627119905858,0.00027583574049654477,0.0002191796634119029,6.967999648213468e-05,0.00020497067865375915,0.0002199011149221902,0.0002215418922752606,0.00018313096328970838,9.5740370928926e-05,0.0001712198912919469,0.00021917064578959186,0.00025789124846377966,0.00026834189551317697,0.00014004326704657906,9.131051942720331e-05,9.436152479224433e-05,0.00021790911661634315,0.0002646084568333298,-0.003819628825195793,-0.0010976185483608564,-0.00025481982059977074,-0.005874854107481344,-4.0485007621749355e-06,-0.004295308912538021,-0.0138359420357868,4.369205891464446e-05,3.358642451731729e-05,-0.017454798631160843,-0.0010646432269761192,-0.005189730488163059,0.00010204662730262488,8.35047625456396e-05,2.5643898926816727e-05,4.084093305277891e-05,9.072645564803517e-05,9.885686915505987e-05,6.505322184086195e-05,5.614633228399747e-05,2.7111182185572027e-05,2.141247746676584e-05,3.1759805013692444e-05,5.3622669097886054e-05,0.00021762155826659914,0.00022742175066177203,0.0001304059830251681,7.897543590117365e-05,0.0002066987684541169,0.00023416042270000227,0.0002345173292176489,0.00022238528637071929,8.550667734999828e-05,8.536226345337777e-05,0.0001959239196847297,0.00023896612720833812,3.3295682180299024e-05,1.5873077751967135e-05,6.670299268622573e-06,1.7939543295656922e-05,5.3803828479013264e-05,3.572403666262131e-05,0.00023723093352054413,0.00022414876837513505,8.204805963402624e-05,8.6518673729675e-05,0.00019802159831167293,0.00024170242282330233,0.0001716024855657024,0.0001997279674159998,0.00022481639762271947,0.00011839442548531216,9.373244537412895e-05,0.00020130299330388933,0.00022338485330549227,0.00016902960521056058,0.00018742480856004588,0.00012764639611027273,0.0001774059130867991,8.900889966088511e-05,0.0002080567987673026,0.0002014208244672149,8.202310594862319e-05,-6.609033969283423e-05,6.0705209206823234e-05,8.098457811811428e-05,-1.829317389952251e-05,9.730042887596884e-05,0.00012132742981363622,0.00011921043987442105,6.392263693933593e-05,0.0001038141137817852,0.00013216495069255782,0.00012045288234052674
complete,1,1.0093065388868838,-0.7046144478238042,-0.7097219311806525,-0.677685024446531,-0.1930455669787259,-0.24789696123021454,-0.5006745433679793,-0.6968862548891498,4.5019245355436,-0.186667767264209,-0.07415701210673999,11.072032521644598,0.25493338395334286,5.122722951013393,-0.05568837787462021,-0.1586413788628838,-0.04530851106870566,-0.028300123756711783,-0.10173631475354754,-0.14247878742274045,-0.3416792693264494,-0.2645248445871933,-0.11442078165923747,-0.14219108893483573,-0.26899140141979505,-0.3178267852156374,-0.6626083361461568,-0.702161670893501,-0.20183810098952715,-0.18676206192043326,-0.5097178112208646,-0.6772430145173322,-0.6885676599890156,-0.6078639315971547,-0.2559790646620925,-0.27676408341714925,-0.5103720615862213,-0.6835245043738899,5.3734549117185635,-0.23778790595872545,-0.0725896480801699,11.509660603631085,-0.061491981845501996,4.438384341711926,-0.06766317500224611,-0.2035944659455213,-0.0847170428142742,-0.04049749676802395,-0.14679164081453708,-0.2189726747870502,-0.32219342248231087,-0.2506823468297571,-0.10578012857275015,-0.13186625928852183,-0.29016265566211824,-0.30764181655372835,-0.496489171826008,-0.6747373199046073,-0.28030982221402195,-0.041118216492353296,-0.5425460591870521,-0.5822566877921803,-0.6154207590672528,-0.5619039368577905,-0.49164511367986236,-0.7049052511430333,-0.681860433934972,-0.7830976672716973,-0.6222510644246957,-0.19782151001305465,-0.5819117566989068,-0.624299265264756,-0.6289574321697091,-0.5199088047788981,-0.2718069130782561,-0.4860932713793066,-0.6222254633967003,-0.7321532543860887,-0.7618226413607745,-0.3975828351321217,-0.2592305646367908,-0.2678923688965327,-0.6186439820727364,-0.7512234089476821,10.843926234731285,3.116139058797045,0.7234334706821743,16.678710811142622,0.011493693669989317,12.194382002696056,39.280239439600734,-0.12404175525975006,-0.09535185921032234,49.554173313863615,3.0225221213784557,14.733644855892301,-0.28971037491313595,-0.23707002086454487,-0.07280302905391497,-0.11594740894374515,-0.25757240758431993,-0.28065465153046215,-0.1846860968062939,-0.15939943735314882,-0.07696864621913366,-0.0607900235289659,-0.09016608643391551,-0.15223475756892066,-0.6178276039185987,-0.6456503501294096,-0.37022258581321327,-0.22421126252685405,-0.5868178036410034,-0.6647814400447446,-0.6657946976482663,-0.6313518280076941,-0.24275345700663717,-0.24234346593294603,-0.5562280079861619,-0.6784248351456844,-0.09452644171034717,-0.04506366773500645,-0.018936979625225583,-0.050930363416863314,-0.15274906904839378,-0.1014205400835435,-0.6734986202655382,-0.6363583534164142,-0.23293444129058724,-0.24562651473291058,-0.5621833176059563,-0.686193178396049,-0.4871794565203988,-0.5670276994936819,-0.6382537528505702,-0.33612177395195986,-0.2661064124196997,-0.5714991979890821,-0.6341895985341884,-0.4798750491921144,-0.5320990315022429,-0.36238811855708475,-0.5036553872550622,-0.25269626613676516,-0.5906732517001795,-0.5718337206621875,-0.23286359778880594,0.18763047438705346,-0.17234208893767022,-0.22991521727573694,0.05193432070016001,-0.276235917581661,-0.3444485732400399,-0.3384384387931713,-0.18147636625349053,-0.2947282690271806,-0.3752162950157143,-0.3419657329642808
average,0,-0.00035551480762326094,0.0002481910700327918,0.00024999011313155893,0.00023870553872734558,6.799773405063072e-05,8.73184083312959e-05,0.00017635595046366855,0.00024546891683318943,-0.0015857430558465586,6.575123890880012e-05,2.6120821454921938e-05,-0.003899976231644287,-8.97968946643744e-05,-0.001804411042979133,1.961549062347271e-05,5.587931626167394e-05,1.5959320558716945e-05,9.968342287168903e-06,3.583526409094505e-05,5.0186258336923424e-05,0.00012035197933341582,9.317535913631849e-05,4.030319889171431e-05,5.008492037756341e-05,9.474864438759056e-05,0.0001119502589702069,0.00023339497574712562,0.00024732711197381096,7.109478723988448e-05,6.578445294279957e-05,0.0001795413213175534,0.00023854984660707414,0.00024253880239109027,0.00021411198717777739,9.016522179441285e-05,9.748646826228468e-05,0.00017977177230922225,0.00024076241788430393,-0.0018927280421708486,8.375762802322531e-05,2.5568738317724334e-05,-0.00405412490441044,2.1659732948558726e-05,-0.0015633618674589925,2.3833453681766854e-05,7.171344344517466e-05,2.984045185302276e-05,1.4264704742902488e-05,5.170540359556959e-05,7.713021302634516e-05,0.00011348834888384148,8.829952336439631e-05,3.725964374011652e-05,4.644813641232595e-05,0.0001022059371841743,0.00010836273918760775,0.00017488170899135214,0.00023766724899775902,9.873540762039269e-05,1.4483345008720049e-05,0.00019110463514867646,0.00020509217604504004,0.0002167737791709877,0.00019792319015796554,0.00017317545391956849,0.00024829350163572354,0.00024017627119905858,0.00027583574049654477,0.0002191796634119029,6.967999648213468e-05,0.00020497067865375915,0.0002199011149221902,0.0002215418922752606,0.00018313096328970838,9.5740370928926e-05,0.0001712198912919469,0.00021917064578959186,0.00025789124846377966,0.00026834189551317697,0.00014004326704657906,9.131051942720331e-05,9.436152479224433e-05,0.00021790911661634315,0.0002646084568333298,-0.003819628825195793,-0.0010976185483608564,-0.00025481982059977074,-0.005874854107481344,-4.0485007621749355e-06,-0.004295308912538021,-0.0138359420357868,4.369205891464446e-05,3.358642451731729e-05,-0.017454798631160843,-0.0010646432269761192,-0.005189730488163059,0.00010204662730262488,8.35047625456396e-05,2.5643898926816727e-05,4.084093305277891e-05,9.072645564803517e-05,9.885686915505987e-05,6.505322184086195e-05,5.614633228399747e-05,2.7111182185572027e-05,2.141247746676584e-05,3.1759805013692444e-05,5.3622669097886054e-05,0.00021762155826659914,0.00022742175066177203,0.0001304059830251681,7.897543590117365e-05,0.0002066987684541169,0.00023416042270000227,0.0002345173292176489,0.00022238528637071929,8.550667734999828e-05,8.536226345337777e-05,0.0001959239196847297,0.00023896612720833812,3.3295682180299024e-05,1.5873077751967135e-05,6.670299268622573e-06,1.7939543295656922e-05,5.3803828479013264e-05,3.572403666262131e-05,0.00023723093352054413,0.00022414876837513505,8.204805963402624e-05,8.6518673729675e-05,0.00019802159831167293,0.00024170242282330233,0.0001716024855657024,0.0001997279674159998,0.00022481639762271947,0.00011839442548531216,9.373244537412895e-05,0.00020130299330388933,0.00022338485330549227,0.00016902960521056058,0.00018742480856004588,0.00012764639611027273,0.0001774059130867991,8.900889966088511e-05,0.0002080567987673026,0.0002014208244672149,8.202310594862319e-05,-6.609033969283423e-05,6.0705209206823234e-05,8.098457811811428e-05,-1.829317389952251e-05,9.730042887596884e-05,0.00012132742981363622,0.00011921043987442105,6.392263693933593e-05,0.0001038141137817852,0.00013216495069255782,0.00012045288234052674
average,1,1.0093065388868838,-0.7046144478238042,-0.7097219311806525,-0.677685024446531,-0.1930455669787259,-0.24789696123021454,-0.5006745433679793,-0.6968862548891498,4.5019245355436,-0.186667767264209,-0.07415701210673999,11.072032521644598,0.25493338395334286,5.122722951013393,-0.05568837787462021,-0.1586413788628838,-0.04530851106870566,-0.028300123756711783,-0.10173631475354754,-0.14247878742274045,-0.3416792693264494,-0.2645248445871933,-0.11442078165923747,-0.14219108893483573,-0.26899140141979505,-0.3178267852156374,-0.6626083361461568,-0.702161670893501,-0.20183810098952715,-0.18676206192043326,-0.5097178112208646,-0.6772430145173322,-0.6885676599890156,-0.6078639315971547,-0.2559790646620925,-0.27676408341714925,-0.5103720615862213,-0.6835245043738899,5.3734549117185635,-0.23778790595872545,-0.0725896480801699,11.509660603631085,-0.061491981845501996,4.438384341711926,-0.06766317500224611,-0.2035944659455213,-0.0847170428142742,-0.04049749676802395,-0.14679164081453708,-0.2189726747870502,-0.32219342248231087,-0.2506823468297571,-0.10578012857275015,-0.13186625928852183,-0.29016265566211824,-0.30764181655372835,-0.496489171826008,-0.6747373199046073,-0.28030982221402195,-0.041118216492353296,-0.5425460591870521,-0.5822566877921803,-0.6154207590672528,-0.5619039368577905,-0.49164511367986236,-0.7049052511430333,-0.681860433934972,-0.7830976672716973,-0.6222510644246957,-0.19782151001305465,-0.5819117566989068,-0.624299265264756,-0.6289574321697091,-0.5199088047788981,-0.2718069130782561,-0.4860932713793066,-0.6222254633967003,-0.7321532543860887,-0.7618226413607745,-0.3975828351321217,-0.2592305646367908,-0.2678923688965327,-0.6186439820727364,-0.7512234089476821,10.843926234731285,3.116139058797045,0.7234334706821743,16.678710811142622,0.011493693669989317,12.194382002696056,39.280239439600734,-0.12404175525975006,-0.09535185921032234,49.554173313863615,3.0225221213784557,14.733644855892301,-0.28971037491313595,-0.23707002086454487,-0.07280302905391497,-0.11594740894374515,-0.25757240758431993,-0.28065465153046215,-0.1846860968062939,-0.15939943735314882,-0.07696864621913366,-0.0607900235289659,-0.09016608643391551,-0.15223475756892066,-0.6178276039185987,-0.6456503501294096,-0.37022258581321327,-0.22421126252685405,-0.5868178036410034,-0.6647814400447446,-0.6657946976482663,-0.6313518280076941,-0.24275345700663717,-0.24234346593294603,-0.5562280079861619,-0.6784248351456844,-0.09452644171034717,-0.04506366773500645,-0.018936979625225583,-0.050930363416863314,-0.15274906904839378,-0.1014205400835435,-0.6734986202655382,-0.6363583534164142,-0.23293444129058724,-0.24562651473291058,-0.5621833176059563,-0.686193178396049,-0.4871794565203988,-0.5670276994936819,-0.6382537528505702,-0.33612177395195986,-0.2661064124196997,-0.5714991979890821,-0.6341895985341884,-0.4798750491921144,-0.5320990315022429,-0.36238811855708475,-0.5036553872550622,-0.25269626613676516,-0.5906732517001795,-0.5718337206621875,-0.23286359778880594,0.18763047438705346,-0.17234208893767022,-0.22991521727573694,0.05193432070016001,-0.276235917581661,-0.3444485732400399,-0.3384384387931713,-0.18147636625349053,-0.2947282690271806,-0.3752162950157143,-0.3419657329642808
